分类: 📡卫视频道, 名称: 湖南卫视, 有效: 12, IPv4: 280, IPv6: 0, 最小延迟: 391 ms, 最高速率: 22.30 M/s, 平均速率: 5.31 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.41, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 265, IPv6: 0, 最小延迟: 146 ms, 最高速率: 26.54 M/s, 平均速率: 5.62 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 279, IPv6: 0, 最小延迟: 5 ms, 最高速率: 293.47 M/s, 平均速率: 56.42 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 195, IPv6: 0, 最小延迟: 555 ms, 最高速率: 19.46 M/s, 平均速率: 5.16 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.55, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 224, IPv6: 0, 最小延迟: 9 ms, 最高速率: 29.17 M/s, 平均速率: 3.85 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 36, IPv6: 0, 最小延迟: 503 ms, 最高速率: 5.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海峡卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 2762 ms, 最高速率: 1.09 M/s, 平均速率: 0.90 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.13, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 273, IPv6: 0, 最小延迟: 6 ms, 最高速率: 337.04 M/s, 平均速率: 49.38 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.69, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 7, IPv4: 245, IPv6: 0, 最小延迟: 7 ms, 最高速率: 13.35 M/s, 平均速率: 6.51 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 9, IPv4: 254, IPv6: 0, 最小延迟: 7 ms, 最高速率: 11.64 M/s, 平均速率: 3.18 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.54, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 8, IPv4: 211, IPv6: 0, 最小延迟: 7 ms, 最高速率: 60.10 M/s, 平均速率: 18.30 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 243, IPv6: 0, 最小延迟: 7 ms, 最高速率: 14.29 M/s, 平均速率: 4.35 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.65, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 4, IPv4: 188, IPv6: 0, 最小延迟: 7 ms, 最高速率: 30.92 M/s, 平均速率: 3.90 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 10, IPv4: 257, IPv6: 0, 最小延迟: 8 ms, 最高速率: 56.58 M/s, 平均速率: 22.79 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.46, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 9, IPv4: 224, IPv6: 0, 最小延迟: 8 ms, 最高速率: 13.00 M/s, 平均速率: 5.06 M/s, 最高分辨率: 3840x2160, 平均帧率: 36.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 7, IPv4: 224, IPv6: 0, 最小延迟: 7 ms, 最高速率: 329.31 M/s, 平均速率: 48.92 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.81, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 187, IPv6: 0, 最小延迟: 8 ms, 最高速率: 12.25 M/s, 平均速率: 3.00 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.92, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 7, IPv4: 236, IPv6: 0, 最小延迟: 7 ms, 最高速率: 77.17 M/s, 平均速率: 19.85 M/s, 最高分辨率: 3840x2160, 平均帧率: 31.46, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 220, IPv6: 0, 最小延迟: 385 ms, 最高速率: 13.12 M/s, 平均速率: 5.36 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 8, IPv4: 233, IPv6: 0, 最小延迟: 7 ms, 最高速率: 39.80 M/s, 平均速率: 4.73 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 4, IPv4: 223, IPv6: 0, 最小延迟: 8 ms, 最高速率: 13.06 M/s, 平均速率: 4.29 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 有效: 9, IPv4: 239, IPv6: 0, 最小延迟: 7 ms, 最高速率: 14.64 M/s, 平均速率: 4.93 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 云南卫视, 有效: 4, IPv4: 167, IPv6: 0, 最小延迟: 7 ms, 最高速率: 16.61 M/s, 平均速率: 5.31 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.53, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 延边卫视, 有效: 2, IPv4: 30, IPv6: 0, 最小延迟: 8 ms, 最高速率: 13.55 M/s, 平均速率: 6.37 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 9, IPv4: 114, IPv6: 0, 最小延迟: 8 ms, 最高速率: 12.62 M/s, 平均速率: 4.81 M/s, 最高分辨率: 3840x2160, 平均帧率: 26.76, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 150, IPv6: 0, 最小延迟: 566 ms, 最高速率: 9.16 M/s, 平均速率: 7.99 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 9, IPv4: 99, IPv6: 0, 最小延迟: 7 ms, 最高速率: 13.21 M/s, 平均速率: 8.41 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 9, IPv4: 138, IPv6: 0, 最小延迟: 7 ms, 最高速率: 43.37 M/s, 平均速率: 12.81 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 4, IPv4: 110, IPv6: 0, 最小延迟: 7 ms, 最高速率: 13.30 M/s, 平均速率: 4.65 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 8, IPv4: 58, IPv6: 0, 最小延迟: 7 ms, 最高速率: 14.21 M/s, 平均速率: 6.43 M/s, 最高分辨率: 3840x2160, 平均帧率: 30.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 3, IPv4: 44, IPv6: 0, 最小延迟: 7 ms, 最高速率: 14.00 M/s, 平均速率: 5.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 农林卫视, 有效: 0, IPv4: 30, IPv6: 0, 最小延迟: 10438 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 兵团卫视, 有效: 4, IPv4: 82, IPv6: 0, 最小延迟: 525 ms, 最高速率: 7.56 M/s, 平均速率: 5.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 91, IPv6: 0, 最小延迟: 8 ms, 最高速率: 11.70 M/s, 平均速率: 6.90 M/s, 最高分辨率: 3840x2160, 平均帧率: 26.24, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 139, IPv6: 0, 最小延迟: 6 ms, 最高速率: 15.20 M/s, 平均速率: 5.43 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安多卫视, 有效: 0, IPv4: 20, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 康巴卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 4, IPv4: 57, IPv6: 0, 最小延迟: 824 ms, 最高速率: 6.24 M/s, 平均速率: 4.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东公共, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 5135 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
